Function_Name,Text_Length,Pattern_Length,Time
Brute Force,100,20,4
KMP,100,20,10
Rabin-Karp,100,20,4
Brute Force,200,40,17
KMP,200,40,6
Rabin-Karp,200,40,5
Brute Force,400,80,60
KMP,400,80,18
Rabin-Karp,400,80,8
Brute Force,800,160,251
KMP,800,160,29
Rabin-Karp,800,160,15
Brute Force,1600,320,840
KMP,1600,320,34
Rabin-Karp,1600,320,37
Brute Force,3200,640,3280
KMP,3200,640,84
Rabin-Karp,3200,640,60
Brute Force,6400,1280,13481
KMP,6400,1280,166
Rabin-Karp,6400,1280,104
Brute Force,12800,2560,41185
KMP,12800,2560,305
Rabin-Karp,12800,2560,185
Brute Force,25600,5120,141956
KMP,25600,5120,450
Rabin-Karp,25600,5120,318
Brute Force,51200,10240,480611
KMP,51200,10240,1078
Rabin-Karp,51200,10240,653
Brute Force,102400,20480,1932129
KMP,102400,20480,1454
Rabin-Karp,102400,20480,1098
Brute Force,204800,40960,8095743
KMP,204800,40960,2899
Rabin-Karp,204800,40960,2568
